time,action,count,
2017-9-28 2:30:46, Cancel, 24,
2017-9-28 2:30:41, Cancel, 28,
2017-9-28 2:30:36, Cancel, 32,
2017-9-28 2:30:31, Cancel, 29,
2017-9-28 2:30:26, Cancel, 29,
2017-9-28 2:30:21, Cancel, 35,
2017-9-28 2:30:16, Cancel, 28,
2017-9-28 2:30:11, Cancel, 24,
2017-9-28 2:30:1, Cancel, 28,
2017-9-28 2:29:6, Cancel, 29,
2017-9-28 2:29:56, Cancel, 29,
2017-9-28 2:29:51, Cancel, 42,
2017-9-28 2:29:46, Cancel, 42,
2017-9-28 2:29:41, Cancel, 27,
2017-9-28 2:29:36, Cancel, 29,
2017-9-28 2:29:31, Cancel, 39,
2017-9-28 2:29:26, Cancel, 28,
2017-9-28 2:29:21, Cancel, 35,
2017-9-28 2:29:16, Cancel, 24,
2017-9-28 2:29:11, Cancel, 29,
2017-9-28 2:29:1, Cancel, 30,
2017-9-28 2:28:6, Cancel, 28,
2017-9-28 2:28:56, Cancel, 23,
2017-9-28 2:28:51, Cancel, 22,
2017-9-28 2:28:46, Cancel, 31,
2017-9-28 2:28:41, Cancel, 31,
2017-9-28 2:28:36, Cancel, 36,
2017-9-28 2:28:31, Cancel, 31,
2017-9-28 2:28:26, Cancel, 37,
2017-9-28 2:28:21, Cancel, 34,
2017-9-28 2:28:16, Cancel, 46,
2017-9-28 2:28:11, Cancel, 22,
2017-9-28 2:28:1, Cancel, 30,
2017-9-28 2:27:6, Cancel, 32,
2017-9-28 2:27:56, Cancel, 28,
2017-9-28 2:27:51, Cancel, 34,
2017-9-28 2:27:46, Cancel, 33,
2017-9-28 2:27:41, Cancel, 27,
2017-9-28 2:27:36, Cancel, 18,
2017-9-28 2:27:31, Cancel, 39,
2017-9-28 2:27:26, Cancel, 30,
2017-9-28 2:27:21, Cancel, 27,
2017-9-28 2:27:16, Cancel, 28,
2017-9-28 2:27:11, Cancel, 40,
2017-9-28 2:27:1, Cancel, 38,
2017-9-28 2:26:6, Cancel, 37,
2017-9-28 2:26:56, Cancel, 43,
2017-9-28 2:26:51, Cancel, 32,
2017-9-28 2:26:46, Cancel, 33,
2017-9-28 2:26:41, Cancel, 38,
2017-9-28 2:26:36, Cancel, 30,
2017-9-28 2:26:31, Cancel, 22,
2017-9-28 2:26:26, Cancel, 22,
2017-9-28 2:26:21, Cancel, 29,
2017-9-28 2:26:16, Cancel, 28,
2017-9-28 2:26:11, Cancel, 29,
2017-9-28 2:26:1, Cancel, 28,
2017-9-28 2:25:6, Cancel, 31,
2017-9-28 2:25:56, Cancel, 29,
2017-9-28 2:25:51, Cancel, 27,
2017-9-28 2:25:46, Cancel, 42,
2017-9-28 2:25:41, Cancel, 31,
2017-9-28 2:25:36, Cancel, 25,
2017-9-28 2:25:31, Cancel, 30,
2017-9-28 2:25:26, Cancel, 37,
2017-9-28 2:25:21, Cancel, 34,
2017-9-28 2:25:16, Cancel, 38,
2017-9-28 2:25:11, Cancel, 32,
2017-9-28 2:25:1, Cancel, 27,
2017-9-28 2:24:6, Cancel, 28,
2017-9-28 2:24:56, Cancel, 27,
2017-9-28 2:24:51, Cancel, 30,
2017-9-28 2:24:46, Cancel, 19,
2017-9-28 2:24:41, Cancel, 27,
2017-9-28 2:24:36, Cancel, 33,
2017-9-28 2:24:31, Cancel, 37,
2017-9-28 2:24:26, Cancel, 19,
2017-9-28 2:24:21, Cancel, 34,
2017-9-28 2:24:16, Cancel, 25,
2017-9-28 2:24:11, Cancel, 30,
2017-9-28 2:24:1, Cancel, 29,
2017-9-28 2:23:6, Cancel, 38,
2017-9-28 2:23:56, Cancel, 34,
2017-9-28 2:23:51, Cancel, 33,
2017-9-28 2:23:46, Cancel, 19,
2017-9-28 2:23:41, Cancel, 42,
2017-9-28 2:23:36, Cancel, 36,
2017-9-28 2:23:31, Cancel, 26,
2017-9-28 2:23:26, Cancel, 46,
2017-9-28 2:23:21, Cancel, 38,
2017-9-28 2:23:16, Cancel, 25,
